item_id,source_lang,mt_engine_1,mt_engine_2,backtranslation_1,backtranslation_2,chrf_engine_pair,chrf_vs_source,flagged,adjudicated,adjudicator,notes
anatomy_test_27,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
astronomy_test_41,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
business_ethics_test_35,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
clinical_knowledge_test_56,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
college_biology_test_23,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
college_chemistry_test_25,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
college_computer_science_test_24,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
college_mathematics_test_15,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
abstract_algebra_test_34,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
anatomy_test_29,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
astronomy_test_42,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
business_ethics_test_39,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
clinical_knowledge_test_57,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
college_biology_test_25,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
college_chemistry_test_26,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
college_computer_science_test_25,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
college_mathematics_test_16,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
abstract_algebra_test_35,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
